collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
College of Menominee Nation,Keshena,Wisconsin,4-year,Private not-for-profit,Tribal Colleges,661,26,22,182661,73172,92,32.8,466,,,6377,14,8846,29,,,,,58,85,66.7,26,51.6,49,,,,,,,,,,,,,,,,,,24,53.3
Leech Lake Tribal College,Cass Lake,Minnesota,2-year,Public,Tribal Colleges,348,15.3,22.7,90407,32320,97,79,244,,,7755,99,10318,99,5.2,25,10.3,11,81.4,99,37.5,2,72.7,96,,,,,,,,,,,,,,,,,,31,75.6
ITT Technical Institute at Little Rock,Little Rock,Arkansas,4-year,Private for-profit,Other technology-related schools,289,35.7,20.8,49826,55570,58,81.7,306,,,3772,18,,,9.1,19,18.2,29,73.8,68,,,2.6,1,,,,,,,,,,,,,,,,,,2,66.7
ITT Technical Institute at Oxnard,Oxnard,California,4-year,Private for-profit,Baccalaureate/Associates Colleges,312,40.7,23.2,31447,53245,23,83.7,339,,,3891,25,,,13.3,31,33.3,65,62.7,34,,,10.3,24,,,,,,,,,,,,,,,,,,64,58.2
"ITT Technical Institute (Louisville, Ky.)",Louisville,Kentucky,4-year,Private for-profit,Other technology-related schools,547,35.1,28,35900,42765,34,68.7,592,,,3292,6,,,15.4,39,23.1,42,70.7,56,,,23.9,64,,,,,,,,,,,,,,,,,,15,59.7
"ITT Technical Institute (Greenville, S.C.)",Greenville,South Carolina,4-year,Private for-profit,Other technology-related schools,353,37.3,21.6,37608,49186,37,80.7,368,,,3772,18,,,,,,,70.7,56,,,8.3,15,,,,,,,,,,,,,,,,,,8,80.4
"ITT Technical Institute (Cordova, Tenn.)",Cordova,Tennessee,4-year,Private for-profit,Other technology-related schools,552,33.7,22.4,35237,61375,33,72.8,550,,,3836,22,,,7.7,15,7.7,5,75.4,74,,,8.6,16,,,,,,,,,,,,,,,,,,16,78.3
Baker College of Jackson,Jackson,Michigan,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,2239,18.9,24.2,0,54025,0,47.8,1695,,,4307,6,9056,31,5.3,2,10.5,2,71.6,92,48.3,5,3.9,0,,,,,,,,,,,,,,,,,,39,32
"ITT Technical Institute (Everett, Wash.)",Everett,Washington,4-year,Private for-profit,Other technology-related schools,271,38.3,22.2,32465,68971,25,74.2,318,,,5319,80,,,0,0,16.7,25,54.2,19,,,14.3,38,,,,,,,,,,,,,,,,,,9,75.3
ITT Technical Institute at Bessemer,Bessemer,Alabama,4-year,Private for-profit,Other technology-related schools,538,37.1,29.1,34970,17406,32,71.7,569,,,3871,24,,,19,47,23.8,44,72.6,63,0,0,17.6,48,,,,,,,,,,,,,,,,,,9,72.7
"ITT Technical Institute (Matteson, Ill.)",Orland Park,Illinois,4-year,Private for-profit,Other technology-related schools,527,32.8,28.6,40258,40421,43,58.1,489,,,4405,52,,,,,,,68.6,48,,,26.8,69,,,,,,,,,,,,,,,,,,19,90.3
Pacific College of Oriental Medicine-New York,New York,New York,4-year,Private for-profit,Other health professions schools,145,61.4,22.6,32793,54039,26,31,89,,,3506,9,,,,,,,43.5,8,,,12.6,34,,,,,,,,,,,,,,,,,,17,25
Baker College Center For Graduate Studies,Flint,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,4513,28,24.2,0,54025,0,28.4,2915,,,3405,2,8465,28,0,0,0,0,54.1,82,,,2.6,0,,,,,,,,,,,,,,,,,,39,0
Johnson & Wales University (Fla.),North Miami,Florida,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,1952,24.2,24.2,0,71929,0,97.3,2051,,,13719,50,15146,45,31.2,31,43.2,27,55.9,83,69.7,34,62.9,64,,,,,,,,,,,,,,,,,,47,79.3
"ITT Technical Institute (Pittsburgh, Pa.)",Pittsburgh,Pennsylvania,2-year,Private for-profit,Associates--Private For-profit,224,38.2,36.4,47055,26415,87,75,263,,,4276,49,,,13.9,15,25,5,72.5,56,43.8,9,9.4,4,,,,,,,,,,,,,,,,,,56,75
Trine University-Regional/Non-Traditional Campuses,Fort Wayne,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,438,35.9,23.8,0,85638,0,67.8,417,,,4903,8,12929,41,0,0,0,0,56.8,84,75,49,,,,,,,,,,,,,,,,,,,,32,9.4
Pennsylvania Highlands Community College,Johnstown,Pennsylvania,2-year,Public,Associates--Public Rural-serving Medium,2506,15.5,15.6,51201,54524,75,39.3,1559,,,6098,92,123,11,0.8,1,15.5,30,26,13,57,47,17,6,,,,,,,,,,,,,,,,,,16,29.5
University of Phoenix at Las Vegas,Las Vegas,Nevada,4-year,Private for-profit,Masters Colleges and Universities--larger programs,1754,20.9,19.7,47086,54810,55,100,1500,,,3548,10,,,1.5,6,22.3,41,57.5,24,53.2,49,10.6,25,,,,,,,,,,,,,,,,,,6,52.2
College of Business and Technology,Miami,Florida,4-year,Private for-profit,Associates--Private For-profit,127,15.2,18.1,132183,46698,95,100,257,,,6500,93,,,,,,,100,100,62.5,62,53.8,91,,,,,,,,,,,,,,,,,,48,100
City College at Casselberry,Altamonte Springs,Florida,2-year,Private not-for-profit,Associates--Private Not-for-profit,425,22.1,22.1,89645,89645,90,70.6,318,,,4764,52,,,30.4,33,34.8,32,96.2,97,56.7,38,13.7,5,,,,,,,,,,,,,,,,,,1,53.5
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,Missouri,2-year,Private not-for-profit,Associates--Private Not-for-profit,222,66.7,29.3,22659,45744,27,27.5,155,,,5256,66,,,50,56,50,43,50.7,37,,,90.9,89,,,,,,,,,,,,,,,,,,3,4.1
New York College of Health Professions,Syosset,New York,4-year,Private not-for-profit,Other health professions schools,537,39.3,22.8,36790,108407,9,58.1,528,,,2500,1,,,,,,,27.9,29,,,8.4,2,,,,,,,,,,,,,,,,,,116,14.7
Medvance Institute at Cookeville,Cookeville,Tennessee,2-year,Private for-profit,Associates--Private For-profit,247,24.3,37.8,28035,20075,62,100,451,,,4720,64,,,18.6,20,58.4,43,76.2,66,65,42,52.6,66,,,,,,,,,,,,,,,,,,15,
North Central Institute,Clarksville,Tennessee,2-year,Private for-profit,Associates--Private For-profit,134,131.1,37.8,5129,20075,9,66.4,163,,,3698,20,,,54.8,69,76.2,83,16.4,1,72.9,66,71.4,83,,,,,,,,,,,,,,,,,,15,
Argosy University-Washington DC,Arlington,Virginia,4-year,Private for-profit,Other health professions schools,134,15.5,28.6,67898,34964,75,13.4,74,,,3831,22,,,0,0,50,86,54.9,20,0,0,15.8,44,,,,,,,,,,,,,,,,,,20,42.9
University of Phoenix-Sacramento Campus,Sacramento,California,4-year,Private for-profit,Masters Colleges and Universities--larger programs,2796,19.3,23.2,51327,53245,61,100,2392,,,3952,29,,,0.3,0,17,27,56.8,23,64.7,66,10.1,23,,,,,,,,,,,,,,,,,,64,32.9
Everest University-Melbourne Campus,Melbourne,Florida,4-year,Private for-profit,Baccalaureate/Associates Colleges,492,37.4,18.1,27130,46698,16,74.6,660,,,4459,54,,,25,60,25,48,82.1,90,,,26.8,69,,,,,,,,,,,,,,,,,,48,53.9
Centura College - Chesapeake,Chesapeake,Virginia,2-year,Private for-profit,Associates--Private For-profit,166,43,28.4,12809,18728,22,73.5,268,,,3952,31,,,60,75,60,47,35.4,6,48.3,11,31.6,36,,,,,,,,,,,,,,,,,,17,83.3
University of Phoenix-Hawaii,Honolulu,Hawaii,4-year,Private for-profit,Masters Colleges and Universities--medium programs,1281,12.7,12.4,57248,60623,67,100,1060,,,3523,9,,,0.6,2,21.8,39,44,8,73.1,77,10.4,25,,,,,,,,,,,,,,,,,,2,48.5
Florida College of Natural Health at Miami,Miami,Florida,2-year,Private for-profit,Associates--Private For-profit,201,15.9,34.7,0,25317,0,100,241,,,3569,16,,,34.3,45,73.6,79,44.9,14,53.3,16,9.1,4,,,,,,,,,,,,,,,,,,39,
Virginia College at Birmingham,Birmingham,Alabama,4-year,Private for-profit,Masters Colleges and Universities--smaller programs,3741,16.1,29.1,43907,17406,50,63.6,8062,,,3771,18,,,24,58,28,56,79.7,85,26.7,4,27.1,70,,,,,,,,,,,,,,,,,,9,31.7
Virginia College at Huntsville,Huntsville,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,567,45.5,29.1,29433,17406,19,70.2,434,,,4024,33,,,14.3,34,14.3,17,80.7,88,40.9,24,27.7,70,,,,,,,,,,,,,,,,,,9,31.2
Northwest Vista College,San Antonio,Texas,2-year,Public,Associates--Public Urban-serving Multicampus,15965,9.9,15,37745,40856,46,24.4,9683,,,3877,46,,,2.7,8,10.5,12,28.2,17,62.4,71,17.5,6,,,,,,,,,,,,,,,,,,63,19.1
"ITT Technical Institute (Getzville, N.Y.)",Getzville,New York,2-year,Private for-profit,Associates--Private For-profit,381,36.2,24.9,33201,44481,73,78.2,425,,,4192,44,,,32.2,39,45.2,22,76,64,42.5,8,6.9,2,,,,,,,,,,,,,,,,,,22,76.3
Sandersville Technical College,Sandersville,Georgia,2-year,Public,Associates--Public Rural-serving Small,1869,24.9,17.2,22931,21560,12,29.6,1408,,,4684,73,,,22.2,87,36.6,91,61.1,89,44.3,7,33.9,53,,,,,,,,,,,,,,,,,,28,42.3
York County Community College,Wells,Maine,2-year,Public,Associates--Public Rural-serving Small,1583,17.4,22.1,41187,38062,55,40.1,927,,,3206,22,1004,57,6.1,31,17.3,38,44.9,58,62.9,73,15.1,3,,,,,,,,,,,,,,,,,,7,30
Sanford-Brown College at Atlanta,Atlanta,Georgia,2-year,Private for-profit,Associates--Private For-profit,360,34.5,32.6,25924,43579,57,98.6,538,,,5244,78,,,21.3,23,53.4,34,58.4,29,74.4,68,45.5,58,,,,,,,,,,,,,,,,,,8,
Sanford-Brown College - Cleveland,Middleburg Heights,Ohio,2-year,Private for-profit,Associates--Private For-profit,495,27.4,34.1,24029,35515,53,96.6,614,,,5023,73,,,37.7,48,57.9,41,59.7,30,66.2,45,76,87,,,,,,,,,,,,,,,,,,42,
Arkansas State University at Mountain Home,Mountain Home,Arkansas,2-year,Public,Associates--Public 2-year colleges under 4-year universities,1238,26,23.6,25197,25729,16,71.8,1179,,,3863,46,,,27.5,92,28.4,76,81.2,99,55.8,41,56.5,91,,,,,,,,,,,,,,,,,,22,48.4
Columbia Gorge Community College,The Dalles,Oregon,2-year,Public,Associates--Public Rural-serving Small,974,28.1,16.9,35271,48188,41,34.1,805,,,7742,99,234,23,19.6,83,41.1,94,46.5,62,35,1,14.4,2,,,,,,,,,,,,,,,,,,17,24.3
Tillamook Bay Community College,Tillamook,Oregon,2-year,Public,Associates--Public Rural-serving Small,514,12.3,16.9,64951,48188,89,44.2,283,,,3666,37,,,17.9,80,32.1,85,70.2,96,54,33,17.3,6,,,,,,,,,,,,,,,,,,17,24.6
University of Phoenix-Louisiana Campus,Metairie,Louisiana,4-year,Private for-profit,Schools of business and management,428,16.5,26.7,87638,38047,86,,368,,,4041,34,,,,,,,69.8,53,,,,,,,,,,,,,,,,,,,,,,4,55.1
University of Phoenix-Michigan Campus,Southfield,Michigan,4-year,Private for-profit,Masters Colleges and Universities--larger programs,980,20.8,28.3,58145,52332,68,100,922,,,3888,25,,,0,0,13.6,16,70.8,57,49.2,37,9.6,20,,,,,,,,,,,,,,,,,,9,57.1
Brown Mackie College-Hopkinsville,Hopkinsville,Kentucky,2-year,Private for-profit,Associates--Private For-profit,284,41.3,41.4,35972,44716,75,100,276,,,3910,29,,,28.6,35,37.7,15,80.1,74,26.2,2,0,0,,,,,,,,,,,,,,,,,,7,100
Arizona College of Allied Health,Glendale,Arizona,2-year,Private for-profit,Associates--Private For-profit,937,37.9,36.8,11705,21312,17,100,1188,,,3909,29,,,39.4,50,48.6,26,82.4,78,71.8,62,11.1,6,,,,,,,,,,,,,,,,,,12,
Living Arts College at School of Communication Arts,Raleigh,North Carolina,4-year,Private for-profit,Associates--Private For-profit,513,25.2,19.5,42140,58286,47,100,731,,,3573,11,,,,,,,73.8,68,69.4,75,68.6,95,,,,,,,,,,,,,,,,,,12,89.3
Eastern International College at Jersey City,Jersey City,New Jersey,2-year,Private for-profit,Associates--Private For-profit,222,26.4,44.6,0,23301,0,77.9,81,,,7501,97,,,81,95,83.5,93,84.7,81,84.5,91,55.2,69,,,,,,,,,,,,,,,,,,3,
San Joaquin Valley College-Fresno Aviation Campus,Fresno,California,2-year,Private for-profit,Associates--Private For-profit,87,28.2,39.3,0,23430,0,100,157,,,3567,16,,,33.3,41,55.6,37,87.4,86,75,70,50,63,,,,,,,,,,,,,,,,,,63,
Pacific College,Costa Mesa,California,4-year,Private for-profit,Associates--Private For-profit,277,46.7,23.2,19681,53245,9,100,363,,,9290,98,,,,,,,53.2,17,100,91,11.4,28,,,,,,,,,,,,,,,,,,64,
Oregon Coast Community College,Newport,Oregon,2-year,Public,Associates--Public Rural-serving Small,580,15.6,16.9,60189,48188,85,31.7,408,,,6643,95,,,29.2,93,29.2,79,37.8,41,42.1,4,16.9,5,,,,,,,,,,,,,,,,,,17,13.3
Le Cordon Bleu College of Culinary Arts - Los Angeles,Pasadena,California,2-year,Private for-profit,Associates--Private For-profit,1739,28,39.3,22980,23430,49,100,2934,,,5058,74,,,37,47,59,45,58.5,29,68.3,51,83,90,,,,,,,,,,,,,,,,,,63,
Embry-Riddle Aeronautical University-Extended Campus,Daytona Beach,Florida,4-year,Private not-for-profit,Other technology-related schools,9789,37.6,24.2,0,71929,0,29.6,6599,,,1450,0,2480,8,29.2,28,58.3,57,25.3,24,61.7,17,41.3,34,,,,,,,,,,,,,,,,,,47,1.8
"ITT Technical Institute at Bay Area Blvd., Houston",Webster,Texas,4-year,Private for-profit,Associates--Private For-profit,303,37.5,23.9,37400,47221,37,87.1,323,,,3999,31,,,,,,,66.7,44,,,9.7,20,,,,,,,,,,,,,,,,,,22,70.5
Aviation Institute of Maintenance (Va.),Chesapeake,Virginia,2-year,Private for-profit,Associates--Private For-profit,235,19,28.4,16653,18728,31,94.9,449,,,2609,3,,,50,63,50,28,45.7,14,51.1,13,77.8,87,,,,,,,,,,,,,,,,,,17,38
Centura College - Richmond,Richmond,Virginia,2-year,Private for-profit,Associates--Private For-profit,229,29,28.4,17180,18728,33,62,279,,,3784,23,,,60.6,76,60.6,49,32.3,5,85.2,92,41.9,54,,,,,,,,,,,,,,,,,,17,63.5
Keiser Career College at Greenacres,Greenacres,Florida,2-year,Private for-profit,Associates--Private For-profit,1157,31.3,34.7,49436,25317,88,62.3,1378,,,4184,43,,,31,38,50.5,29,65.7,42,69.7,55,41.1,52,,,,,,,,,,,,,,,,,,39,73.3
Argosy University-Tampa,Tampa,Florida,4-year,Private for-profit,Masters Colleges and Universities--smaller programs,123,14.9,18.1,52978,46698,63,22,77,,,4153,38,,,,,,,61.4,31,66.7,68,8,13,,,,,,,,,,,,,,,,,,48,0
Illinois Institute of Art at Schaumburg,Schaumburg,Illinois,4-year,Private for-profit,Schools of art- music- and design,1066,19,28.6,39195,40421,41,75.4,1246,,,5150,76,,,39.9,85,42.8,81,51.6,15,57,55,28.1,72,,,,,,,,,,,,,,,,,,19,37.5
Cambria-Rowe Business College at Indiana,Indiana,Pennsylvania,2-year,Private for-profit,Associates--Private For-profit,105,26.1,36.4,23294,26415,50,100,148,,,7395,96,,,60.5,75,62.8,55,77,67,76,73,100,94,,,,,,,,,,,,,,,,,,56,97.7
Klamath Community College,Klamath Falls,Oregon,2-year,Public,Associates--Public Rural-serving Small,1304,10.6,16.9,48762,48188,71,41.7,1062,,,4486,68,133,12,0,0,2,0,82.1,99,60,60,29.5,40,,,,,,,,,,,,,,,,,,17,34.2
Art Institute of Phoenix,Phoenix,Arizona,4-year,Private for-profit,Schools of art- music- and design,1045,20.6,32.8,85173,25661,85,79.7,1147,,,5779,87,,,25.2,62,30.5,61,66.3,42,50.5,45,32.7,77,,,,,,,,,,,,,,,,,,23,68.3
Urban College of Boston,Boston,Massachusetts,2-year,Private not-for-profit,Associates--Private Not-for-profit,762,54.2,59.9,19996,37648,22,3.8,255,,,1390,7,,,57.1,64,57.1,51,60.1,52,100,92,0,0,,,,,,,,,,,,,,,,,,2,5.6
"ITT Technical Institute (Henderson, Nev.)",Henderson,Nevada,4-year,Private for-profit,Other technology-related schools,469,35.6,19.7,33352,54810,28,76.5,540,,,3603,12,,,0,0,16.7,25,68.8,49,,,15.6,43,,,,,,,,,,,,,,,,,,6,77.4
Anthem College at Minneapolis,Saint Louis Park,Minnesota,2-year,Private for-profit,Associates--Private For-profit,132,32.8,38,32430,26759,71,100,379,,,4443,55,,,54.3,69,65.2,61,68.9,48,83.3,88,61.5,76,,,,,,,,,,,,,,,,,,5,
Colorado Technical University at Greenwood Village,Aurora,Colorado,4-year,Private for-profit,Masters Colleges and Universities--medium programs,645,16.5,24.7,46048,44867,53,47.8,752,,,4951,71,,,0,0,14.7,20,53.5,18,34.8,15,7.4,12,,,,,,,,,,,,,,,,,,16,10.2
"Heald College, Portland",Portland,Oregon,2-year,Private for-profit,Associates--Private For-profit,682,25.6,39.6,11451,21525,17,77,873,,,4641,61,,,33.8,44,33.8,12,80.2,75,66.7,46,35.2,43,,,,,,,,,,,,,,,,,,5,42.4
Golf Academy of America (Fla.),Apopka,Florida,2-year,Private for-profit,Associates--Private For-profit,255,41.6,34.7,32946,25317,72,93.3,264,,,4651,61,,,99,100,99,100,44.1,13,75.9,72,25,26,,,,,,,,,,,,,,,,,,39,46.9
Golf Academy of America (Ariz.),Chandler,Arizona,2-year,Private for-profit,Associates--Private For-profit,171,47.3,36.8,28015,21312,62,93,174,,,4618,61,,,97.4,99,97.4,99,43.3,12,79.7,82,33.3,39,,,,,,,,,,,,,,,,,,12,44.9
Strayer University-Maryland,Suitland,Maryland,4-year,Private for-profit,Not applicable- not in Carnegie universe,2062,22.1,23.4,40786,41262,44,13.7,2040,,,5946,88,,,15.8,39,21.1,38,44.5,9,44.4,30,11.8,30,,,,,,,,,,,,,,,,,,4,
ITT Technical Institute at Miami,Miami,Florida,4-year,Private for-profit,Other technology-related schools,417,43.1,18.1,31573,46698,24,70.7,406,,,4914,70,,,3.3,8,20,34,71.3,59,,,14,36,,,,,,,,,,,,,,,,,,48,66.7
"ITT Technical Institute (Mechanicsburg, Pa.)",Harrisburg,Pennsylvania,2-year,Private for-profit,Associates--Private For-profit,239,35.8,36.4,43711,26415,85,77.8,229,,,4138,41,,,14.9,16,26.4,7,67.9,46,28.9,2,8.6,4,,,,,,,,,,,,,,,,,,56,76.6
"ITT Technical Institute (Monroeville, Pa.)",Tarentum,Pennsylvania,2-year,Private for-profit,Associates--Private For-profit,255,36.6,36.4,42512,26415,83,78,238,,,6032,88,,,37.5,48,47.9,25,72.4,56,60.6,29,12,8,,,,,,,,,,,,,,,,,,56,79.7
"ITT Technical Institute (Norwood, Ohio)",Norwood,Ohio,4-year,Private for-profit,Associates--Private For-profit,419,33.6,27.6,47458,43576,56,73.3,432,,,4156,38,,,,,,,78.2,82,,,12.2,31,,,,,,,,,,,,,,,,,,24,78.4
"ITT Technical Institute (Strongsville, Ohio)",Strongsville,Ohio,4-year,Private for-profit,Associates--Private For-profit,391,37,27.6,32602,43576,26,74.4,401,,,3783,19,,,,,,,72.2,62,,,19,51,,,,,,,,,,,,,,,,,,24,82.1
Creative Center,Omaha,Nebraska,4-year,Private for-profit,Schools of art- music- and design,86,38.8,24.9,61922,35830,71,100,112,,,4197,42,,,,,,,49.5,13,,,30,75,,,,,,,,,,,,,,,,,,4,100
Carver Career Center,Charleston,West Virginia,2-year,Public,Associates--Public Rural-serving Small,278,28.1,20.5,13565,32982,2,93.9,205,,,5585,88,,,97.8,100,100,100,52.2,76,96.4,100,77.8,97,,,,,,,,,,,,,,,,,,10,
New Hampshire Institute of Art,Manchester,New Hampshire,4-year,Private not-for-profit,Schools of art- music- and design,470,19.6,20.7,77043,123661,49,87.9,506,,,6328,14,46282,76,70.5,86,78.4,87,37.6,51,81.2,68,12,3,,,,,,,,,,,,,,,,,,8,59.9
Institute of Technology at Clovis,Clovis,California,2-year,Private for-profit,Associates--Private For-profit,1989,30.3,39.3,25265,23430,56,98.6,2483,,,4121,39,,,46.9,59,64.4,60,72.3,55,63,35,45.8,58,,,,,,,,,,,,,,,,,,63,
Kaplan College - San Antonio Ingram Campus,San Antonio,Texas,2-year,Private for-profit,Associates--Private For-profit,625,25.8,35.1,17467,18614,34,100,1067,,,4110,39,,,0,0,70.9,75,64.1,37,84.6,91,51.7,65,,,,,,,,,,,,,,,,,,37,
University of Phoenix-Washington Campus,Tukwila,Washington,4-year,Private for-profit,Schools of business and management,566,12.3,22.2,139291,68971,96,100,596,,,3870,24,,,0,0,19.1,32,48.1,12,72.4,76,13.3,35,,,,,,,,,,,,,,,,,,9,35.6
University of Phoenix-Orlando Campus,Orlando,Florida,4-year,Private for-profit,Masters Colleges and Universities--larger programs,707,21.6,18.1,52117,46698,62,100,757,,,3793,20,,,0.7,2,24,45,65.2,39,48.1,36,7.4,12,,,,,,,,,,,,,,,,,,48,45.9
University of Phoenix-Oregon Campus,Tigard,Oregon,4-year,Private for-profit,Masters Colleges and Universities--medium programs,639,17.7,29.2,80028,40150,83,100,690,,,3752,17,,,2.8,8,20.1,37,66.9,44,52.5,47,9.1,18,,,,,,,,,,,,,,,,,,4,41.7
Kaplan College at Riverside,Riverside,California,2-year,Private for-profit,Associates--Private For-profit,234,28.4,39.3,23813,23430,52,100,443,,,3338,10,,,0,0,73,78,38.5,9,86.8,95,13.6,10,,,,,,,,,,,,,,,,,,63,
Platt College at Ontario,Ontario,California,4-year,Private for-profit,Baccalaureate/Associates Colleges,467,28,23.2,0,53245,0,100,575,,,4733,63,,,33.3,75,33.3,65,63,35,83.3,86,45.5,88,,,,,,,,,,,,,,,,,,64,84.8
Delaware College of Art and Design,Wilmington,Delaware,2-year,Private not-for-profit,Associates--Private Not-for-profit,196,31.1,31.1,35224,35224,45,93.4,234,,,8634,91,5219,44,65.7,79,70.4,72,46.2,34,73.6,71,16.7,6,,,,,,,,,,,,,,,,,,1,90.8
Art Institute of California at Los Angeles,Santa Monica,California,4-year,Private for-profit,Schools of art- music- and design,1808,19.8,23.2,78818,53245,82,69.1,1876,,,6562,93,,,12.8,30,24.9,48,63.5,36,60.5,60,30.5,75,,,,,,,,,,,,,,,,,,64,50.3
American University of Health Sciences - Signal Hill,Signal Hill,California,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,280,20.1,23.2,104872,53245,92,100,275,,,4457,54,,,83.3,97,83.3,96,50.6,14,33.3,8,100,98,,,,,,,,,,,,,,,,,,64,
CNI College,Orange,California,2-year,Private for-profit,Associates--Private For-profit,561,32.4,39.3,24422,23430,55,98.4,655,,,3628,18,,,6.9,6,66.9,65,57.4,27,84.6,91,25,26,,,,,,,,,,,,,,,,,,63,
Carolinas College of Health Sciences,Charlotte,North Carolina,2-year,Public,Associates--Public Special Use,449,53.1,14.8,49663,37924,72,18,240,,,3199,21,,,50,98,50,97,21.3,6,33.3,1,55.1,90,,,,,,,,,,,,,,,,,,59,
Western Governors University,Salt Lake City,Utah,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,35493,16.4,18.9,27959,56663,5,100,24576,,,3909,4,,,20.9,14,24.2,6,42,60,75,49,66.1,69,,,,,,,,,,,,,,,,,,7,35.4
Santa Barbara Business College at Ventura,Ventura,California,4-year,Private for-profit,Associates--Private For-profit,339,28.1,23.2,46602,53245,54,100,319,,,3663,14,,,,,,,66.5,43,66.7,68,0,0,,,,,,,,,,,,,,,,,,64,
Herzing University (La.),Kenner,Louisiana,4-year,Private for-profit,Baccalaureate/Associates Colleges,316,27.8,26.7,35410,38047,34,59.8,351,,,4308,47,,,,,,,75.9,75,25,2,35.5,81,,,,,,,,,,,,,,,,,,4,41.9
Spencerian College at Lexington,Lexington,Kentucky,2-year,Private for-profit,Associates--Private For-profit,159,43.7,41.4,41465,44716,83,75.5,260,,,5595,84,,,10.9,12,31.6,10,62.2,33,44.1,9,56.5,71,,,,,,,,,,,,,,,,,,7,90.8
Florida Gulf Coast University,Fort Myers,Florida,4-year,Public,Masters Colleges and Universities--larger programs,12907,20.7,23.9,47479,34779,25,78.6,10384,1024,49,4389,11,4807,56,22,50,44.2,45,34.7,38,76.6,59,65.4,55,,,,,,,,,,,,,,,,,,36,61.6
Little Priest Tribal College,Winnebago,Nebraska,2-year,Private not-for-profit,Tribal Colleges,144,13.8,13.8,155075,155075,97,50.7,95,,,5944,70,13845,64,4.2,2,4.2,2,63.6,55,27.3,0,30,26,,,,,,,,,,,,,,,,,,1,49.1
National Labor College,Silver Spring,Maryland,4-year,Private not-for-profit,Schools of business and management,623,33.3,22.4,138855,184772,85,5.3,306,,,1123,0,87,0,,,,,15.2,7,,,24.5,12,,,,,,,,,,,,,,,,,,16,
"ITT Technical Institute (Richardson, Tex.)",Richardson,Texas,4-year,Private for-profit,Associates--Private For-profit,652,32.7,23.9,34907,47221,32,71.9,706,,,4312,48,,,,,,,72.5,63,,,19.1,52,,,,,,,,,,,,,,,,,,22,73.7
South Louisiana Community College,Lafayette,Louisiana,2-year,Public,Associates--Public Rural-serving Medium,4593,19.8,21.9,46603,15389,67,48.7,2519,,,3045,18,20,3,1.4,2,6.3,2,26,13,53,29,51.8,87,,,,,,,,,,,,,,,,,,16,22.2
Pima Medical Institute-Chula Vista,Chula Vista,California,2-year,Private for-profit,Associates--Private For-profit,927,17.2,39.3,14043,23430,26,100,1497,,,5289,79,,,24.9,28,63.5,57,57.2,27,72.7,65,59.5,74,,,,,,,,,,,,,,,,,,63,
Lincoln College of Technology at Marietta,Marietta,Georgia,2-year,Private for-profit,Associates--Private For-profit,267,77,32.6,16871,43579,32,100,196,,,4184,43,,,41.7,54,55.7,38,72,55,64.3,40,47.8,62,,,,,,,,,,,,,,,,,,8,
Michigan Jewish Institute,W Bloomfield,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1662,1.1,24.2,795571,54025,100,75.9,1135,,,5105,9,,,12.5,6,12.5,2,97.6,100,44.1,3,33.3,22,,,,,,,,,,,,,,,,,,39,89.5
City College,Miami,Florida,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,283,29.3,24.2,0,71929,0,73.1,322,,,5023,9,46,0,,,,,96.7,100,,,15.4,5,,,,,,,,,,,,,,,,,,47,92.1
"ITT Technical Institute (Arnold, Mo.)",Arnold,Missouri,4-year,Private for-profit,Other technology-related schools,291,44.7,32,31391,27738,23,71.5,380,,,3988,30,,,0,0,0,0,66,41,,,7.7,13,,,,,,,,,,,,,,,,,,20,63.8
"ITT Technical Institute (Burr Ridge, Ill.)",Oak Brook,Illinois,4-year,Private for-profit,Other technology-related schools,336,32.1,28.6,39746,40421,42,75.9,347,,,4151,38,,,,,,,76.2,76,,,10,22,,,,,,,,,,,,,,,,,,19,76.6
